package_name,instability,abstactness,distance_from_main_sequence
appender,0.9912280701754386,0.08947368421052632,0.08070175438596494
async,0.9615384615384616,0.047619047619047616,0.009157509157509125
config,0.8294573643410853,0.031088082901554404,-0.1394545527573603
filter,1.0,0.1,0.10000000000000009
impl,0.9444444444444444,0.0,-0.05555555555555558
jackson,0.90625,0.16129032258064516,0.06754032258064524
jmx,1.0,0.0,0.0
layout,1.0,0.09090909090909091,0.09090909090909083
lookup,1.0,0.07692307692307693,0.07692307692307687
message,1.0,0.0,0.0
net,1.0,0.02127659574468085,0.02127659574468077
osgi,1.0,0.0,0.0
parser,1.0,0.0,0.0
pattern,1.0,0.0761904761904762,0.07619047619047614
script,1.0,0.25,0.25
selector,1.0,0.0,0.0
time,0.5714285714285714,0.0,-0.4285714285714286
tools,0.75,0.017543859649122806,-0.23245614035087714
util,0.9019607843137255,0.015957446808510637,-0.08208176887776386
